g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,donut,moult,,,,ngnnn,ngnyg,ggggg,,,
soare,nasty,basic,,,,ynynn,nggnn,ggggg,,,
soare,sauna,salad,,,,gnynn,ggnny,ggggg,,,
soare,plate,abate,agate,,,nngng,nnggg,gnggg,ggggg,,
soare,stink,swill,spicy,,,gnnnn,gngnn,gngnn,ggggg,,
soare,scrap,spray,,,,gnyyn,gnggy,ggggg,,,
soare,essay,,,,,ynyny,ggggg,,,,
soare,chord,fjord,,,,nyngn,nnggg,ggggg,,,
soare,spelt,spend,,,,gnnny,gggnn,ggggg,,,
soare,pleat,began,kebab,,,nnyny,nnygn,ygngn,ggggg,,
soare,lunch,built,guild,,,nnnnn,ygnnn,ngggn,ggggg,,
soare,clank,aback,,,,nngnn,yngng,ggggg,,,
soare,north,motor,,,,ngnyn,ngyyn,ggggg,,,
soare,anode,alone,,,,nyyng,gygng,ggggg,,,
soare,natal,patch,hatch,,,nnynn,nggnn,ngggg,ggggg,,
soare,deter,filer,hyper,,,nnnyy,nnngg,nnngg,ggggg,,
soare,lunch,thumb,,,,nnnnn,nynny,ggggg,,,
soare,dowry,,,,,ngngn,ggggg,,,,
soare,blood,ought,,,,nynnn,nnynn,ggggg,,,
soare,betel,belly,belch,,,nnnny,ggnny,gggnn,ggggg,,
soare,lunch,dutch,,,,nnnnn,ngngg,ggggg,,,
soare,blood,pilot,,,,nynnn,nyngn,ggggg,,,
soare,betel,tweed,,,,nnnny,nyygn,ggggg,,,
soare,motel,comet,,,,ngnny,ygygn,ggggg,,,
soare,natal,taint,jaunt,,,nnynn,ygynn,ngngg,ggggg,,
soare,pleat,enema,,,,nnyny,nngyn,ggggg,,,
soare,spelt,steed,,,,gnnny,gngny,ggggg,,,
soare,nasty,abyss,,,,ynynn,nyyny,ggggg,,,
soare,front,droop,growl,,,nynyn,nggnn,nggnn,ggggg,,
soare,lunch,fling,,,,nnnnn,ynynn,ggggg,,,
soare,motel,woven,dozen,,,ngnny,ngngn,ngngg,ggggg,,
soare,donut,folio,booby,boozy,,ngnnn,ngnnn,ngnny,gggng,ggggg,
soare,prove,drone,erode,,,nynyg,nggng,yggng,ggggg,,
soare,north,world,,,,ngnyn,nggnn,ggggg,,,
soare,vogue,gouge,,,,ngnng,ngyyg,ggggg,,,
soare,lunch,flick,click,,,nnnnn,ynngn,ngggg,ggggg,,
soare,radar,briar,,,,nnyyn,ynngg,ggggg,,,
soare,later,great,,,,nnyyy,nyyyy,ggggg,,,
soare,radar,altar,,,,nnyyn,nyngg,ggggg,,,
soare,lunch,built,pulpy,,,nnnnn,ygnnn,ngnyn,ggggg,,
soare,churn,blurt,,,,nnngn,nnggn,ggggg,,,
soare,coast,,,,,yggnn,ggggg,,,,
soare,lunch,duchy,,,,nnnnn,ngnyy,ggggg,,,
soare,front,groin,,,,nynyn,nggyn,ggggg,,,
soare,deter,filer,fixer,,,nnnyy,nnngg,ggngg,ggggg,,
soare,front,droop,group,,,nynyn,nggnn,nggng,ggggg,,
soare,forge,rogue,,,,ngnyg,ngyyg,ggggg,,,
soare,natal,daily,badly,,,nnynn,ngnny,ygngg,ggggg,,
soare,stark,smart,,,,gnggn,gyggn,ggggg,,,
soare,lunch,might,pithy,,,nnnnn,nnnny,ngngy,ggggg,,
soare,natal,bawdy,daddy,gaudy,,nnynn,ngnnn,ngngg,ngngg,ggggg,
soare,lunch,chill,,,,nnnnn,ynnyy,ggggg,,,
soare,tenor,heron,,,,nynyy,ngygy,ggggg,,,
soare,nomad,vodka,,,,ngynn,ngnyy,ggggg,,,
soare,deter,filer,fixer,finer,,nnnyy,nnngg,ggngg,ggngg,ggggg,
soare,sneer,surer,,,,gnnyy,gnngg,ggggg,,,
soare,baron,radio,,,,nyyyn,ngyyn,ggggg,,,
soare,forge,rouge,,,,ngnyg,ngygg,ggggg,,,
soare,deter,perch,,,,nnnyy,ngnny,ggggg,,,
soare,deter,retch,,,,nnnyy,nggny,ggggg,,,
soare,prove,drone,wrote,,,nynyg,nggng,nggng,ggggg,,
soare,blood,cloth,clock,,,nynnn,nggnn,gggnn,ggggg,,
soare,guile,tilde,,,,nnnng,nnyyg,ggggg,,,
soare,store,,,,,gyngg,ggggg,,,,
soare,prove,,,,,nynyg,ggggg,,,,
