g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,clint,civic,,,,nnnnn,gnynn,ggggg,,,
soare,faugh,forge,,,,ngnyg,gnngn,ggggg,,,
soare,cyton,corny,,,,ngnyn,gynyy,ggggg,,,
soare,culty,moult,,,,ngnnn,nyyyn,ggggg,,,
soare,nasty,abacs,basic,,,ynynn,nggnn,yynyy,ggggg,,
soare,dault,salad,,,,gnynn,ygnyn,ggggg,,,
soare,glitz,agate,,,,nngng,ynngn,ggggg,,,
soare,thilk,suing,spicy,,,gnnnn,nngnn,gngnn,ggggg,,
soare,cuppy,spray,,,,gnyyn,nnyng,ggggg,,,
soare,ajwan,essay,,,,ynyny,nnngn,ggggg,,,
soare,acidy,fjord,,,,nyngn,nnnyn,ggggg,,,
soare,spelt,spend,,,,gnnny,gggnn,ggggg,,,
soare,pleat,began,kebab,,,nnyny,nnygn,ygngn,ggggg,,
soare,clint,guild,,,,nnnnn,nygnn,ggggg,,,
soare,plink,aahed,aback,,,nngnn,nnnng,gynnn,ggggg,,
soare,cyton,motor,,,,ngnyn,nnggn,ggggg,,,
soare,bundt,alone,,,,nyyng,nnynn,ggggg,,,
soare,clint,bumph,hatch,,,nnynn,ynnny,nnnng,ggggg,,
soare,deter,pilch,hyper,,,nnnyy,nnngg,ynnny,ggggg,,
soare,clint,thumb,,,,nnnnn,nnnny,ggggg,,,
soare,almud,dowry,,,,ngngn,nnnny,ggggg,,,
soare,clint,ought,,,,nynnn,nnnng,ggggg,,,
soare,denet,belch,,,,nnnny,ngnnn,ggggg,,,
soare,clint,aband,dutch,,,nnnnn,ynnny,nnnny,ggggg,,
soare,clint,pilot,,,,nynnn,nyyng,ggggg,,,
soare,denet,tweed,,,,nnnny,yyngy,ggggg,,,
soare,meynt,comet,,,,ngnny,yynng,ggggg,,,
soare,clint,dight,ajiva,jaunt,,nnynn,nnngg,nnnng,yynnn,ggggg,
soare,pleat,enema,,,,nnyny,nngyn,ggggg,,,
soare,spelt,steed,,,,gnnny,gngny,ggggg,,,
soare,nasty,abyss,,,,ynynn,nyyny,ggggg,,,
soare,cutin,droop,growl,,,nynyn,nnnnn,nggnn,ggggg,,
soare,clint,blink,fling,,,nnnnn,ngggn,ngggn,ggggg,,
soare,meynt,woven,dozen,,,ngnny,nynyn,ngngg,ggggg,,
soare,culty,goody,booby,boozy,,ngnnn,nnnng,nggng,gggng,ggggg,
soare,pownd,erode,,,,nynyg,nynny,ggggg,,,
soare,cyton,rough,world,,,ngnyn,nnnyn,ygnnn,ggggg,,
soare,pugil,gouge,,,,ngnng,nyynn,ggggg,,,
soare,clint,abaca,click,,,nnnnn,gggnn,nnngn,ggggg,,
soare,radar,briar,,,,nnyyn,ynngg,ggggg,,,
soare,talar,great,,,,nnyyy,ynngy,ggggg,,,
soare,radar,altar,,,,nnyyn,nyngg,ggggg,,,
soare,clint,bully,pulpy,,,nnnnn,nynnn,nggng,ggggg,,
soare,fitch,blurt,,,,nnngn,nnynn,ggggg,,,
soare,abaca,coast,,,,yggnn,nngyn,ggggg,,,
soare,clint,duchy,,,,nnnnn,ynnnn,ggggg,,,
soare,cutin,groin,,,,nynyn,nnngg,ggggg,,,
soare,deter,pilch,ganef,fixer,,nnnyy,nnngg,ngnnn,nnngy,ggggg,
soare,cutin,group,,,,nynyn,nynnn,ggggg,,,
soare,faugh,rogue,,,,ngnyg,nnyyn,ggggg,,,
soare,clint,dampy,badly,,,nnynn,nynnn,ygnng,ggggg,,
soare,kempt,smart,,,,gnggn,nnyng,ggggg,,,
soare,clint,ditty,pithy,,,nnnnn,nnyny,nggng,ggggg,,
soare,clint,midgy,gaudy,,,nnynn,nnnnn,nnyyg,ggggg,,
soare,clint,aduki,chill,,,nnnnn,gygnn,nnnny,ggggg,,
soare,trued,heron,,,,nynyy,nynyn,ggggg,,,
soare,liman,vodka,,,,ngynn,nnnyn,ggggg,,,
soare,deter,pilch,ganef,finer,,nnnyy,nnngg,ngnnn,nnggy,ggggg,
soare,newie,surer,,,,gnnyy,nynnn,ggggg,,,
soare,baron,radio,,,,nyyyn,ngyyn,ggggg,,,
soare,faugh,rouge,,,,ngnyg,nnggn,ggggg,,,
soare,deter,cupid,perch,,,nnnyy,ngnny,ynynn,ggggg,,
soare,deter,retch,,,,nnnyy,nggny,ggggg,,,
